作者,看板,標題,時間,分數,內容
orangeleeng (風兒鬼兒),movie,[  普雷] 千年一問內有負評請斟酌,Wed Oct 21 01:38:27 2020,3,"
看完千年一問覺得滿滿無奈
要求完美與執著的老師真的有辦法忍受這部片嗎？

我主要負評在那個鏡頭一直晃啊啊啊啊啊
拍個故宮靜態文物也一直抖動，最後拍人物落淚直接拉特寫。看了超不舒服。

還有可能真的訪談太多被切得很零碎看不出真實面貌，編劇和導演也很難安排。

鄭問老師的藝術性如此崇高，怎麼後人出品的紀錄片這種德性，有人可以討論嗎？
如果是自己拍這部片，還有什麼好著眼的點？

最後，回家查資料才發現入圍金馬最佳紀錄片？希望金馬評審不會因為鄭問的崇高地位而
影響判斷力。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.137.145.69 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603215510.A.FFD.html
"
prawinra (cybernetic),movie,Re: [討論] 寄生上流是紅在哪？,Wed Oct 21 03:47:57 2020,2,"
     韓國文化深受儒教影響，甚至有將亞洲的文化與技術
     均指為朝鮮半島所創造和發明，宣稱其他國家的名人
     是韓裔後代、或具有韓國血統等的史觀論點。譬如電影
   《千機箭》。  或在《安巿城/浴血圍城88天》片中，
     高句麗守城軍擊退了親征的天可汗唐太宗。

     可見韓國人的自傲。

     而現代化南韓的資本社會，實際也落入了貧富不均的弊病叢生、
     階級意識作祟的問題。他們有些富人階層對待平民的心態，
     有諸如 大韓航空堅果返航新聞。 台灣之前稱為貳貳Ｋ的低薪世代，
     同樣在韓國有捌捌世代的非正職派遣編制。

     上述小節是對比韓國民族自傲和實際社會問題，


     以下則進入電影《寄生上流》一片簡短 劣評：近來某些批踢踢
     鄉民發出對這片「得獎」不解、認為國際影評「過譽」、
     是受韓國影業大外宣 得道。 容在下引用歷史潮流中順從政局
     統治結構、所謂犬儒之輩不敢在諸侯天子面前提及的

   《孟子 滕文公》章句下（二）
     景春曰：「公孫衍、張儀，豈不誠大丈夫哉？ 一怒而諸侯懼；安居而天下熄。」
     孟子曰：「是焉得為大丈夫乎？子未學禮乎？
               .....
               居天下之廣居，立天下之正位，行天下之大道；
               得志，與民由之；  不得志，獨行其道。

           富貴不能淫，貧賤不能移，威武不能屈，此之謂大丈夫。」

   《寄生上流》原片名稱，實屬不當喻比；在一日所需百工斯備的
     現代社會，我們看到富人生活煮食仰賴傭人、交通接送自己小孩、
     當然社會心理難免有貴賤之別，但大家心照不宣作好 表面功夫
     尊敬對方工作，即「有禮 無體」。

     此正當職業被冠以 寄生 之名。而片中飾富人男主，在最後大事中
     看似無傷大雅的掩鼻之舉措，為何會引發金司機的憤慨殺機呢？

     他女兒已被刺殺了，司機本意當初也在幫救人。 然後鑰匙被壓在
     他「同類」的屍體下，他本身就社會低端，因貧窮「子未曾學禮」
     因貧窮而不知禮。

     犬儒大大們教育他要「富貴不淫、貧賤不移、威武不屈」

     他只會聽見景春曰：「公孫衍、張儀豈不誠大丈夫哉？

                         一怒而諸侯懼；安居而天下熄。」


     女兒都死了，司機你已沒有女兒，醒了。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.224.125.236 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603223279.A.C60.html
"
Jay1 (哈哈鬼),movie,[問片] 求一個關於抽籤的電影片段,Wed Oct 21 07:44:21 2020,6,"
劇情應該是幾個人抽籤要選出一個倒楣鬼
誰的籤最短就中標
而第一個抽的人以為自己的籤很長很得意
沒想到後面的每支都比他長

應該是部老港片
但年紀大了怎麼想都想不起來
學校教學所需
麻煩電影版大們幫忙解個惑
感恩

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 203.72.178.252 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603237463.A.5A7.html
"
laiyuhao (0.0\),movie,Re: [新聞] 《神力女超人2》能如期上映？導演沒信心,Wed Oct 21 08:29:14 2020,-15,"
再繼續挺中國啊

死左膠

垃圾民主黨蝦挺黑人同性戀

現在因為支那病毒沒錢賺

爽

小英總統萬歲!!!支持無限連任!!!台灣國史上最偉大總統!!!



我登入三千次，我看沒人比我多吧
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 110.30.7.35 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603240156.A.AE4.html
※ 編輯: laiyuhao (110.30.7.35 臺灣), 10/21/2020 08:30:04
"
kylefan (柚子),movie,[討論] 玩命關頭將在第11集完結,Wed Oct 21 09:10:12 2020,45,"
根據THR報導，玩命關頭10和11將由林詣彬執導，並將是本傳電影（core movies）的完結篇
。

林詣彬曾執導《玩命關頭3：東京甩尾》、《玩命關頭4》、《玩命關頭5》、《玩命關頭6》
以及原定今年上映卻遭延後的《玩命關頭9》。

馮迪索以及原班底預計將持續主演最後這幾集。

即便如此，玩命關頭宇宙仍有多部外傳籌劃中，其中包含《玩命關頭：特別行動》續集和一
部以女性角色為主角的外傳等等。

玩命關頭系列，包含外傳，從2001年以來在全球賺進了58.9億美金，其中2017年的本傳最新
作《玩命關頭8》賺了12.3億美金。

https://www.hollywoodreporter.com/heat-vision/justin-lin-to-direct-final-two-fas
t-furious-movies

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.216.205.103 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603242614.A.846.html
"
a66880022 (the punk),movie,[ 好雷]  鬼滅之刃觀影心得 （無雷）,Wed Oct 21 09:46:09 2020,33,"
前言：
本來今天要去看天能的結果睡過頭只好看鬼滅之刃。
之所以會挑昨天去看是因為日本看電影非會員日的話一般票要1800日圓 會員日的話只要1
400日圓。
雖然看的是平時下午3點左右的電影卻是坐滿滿真的蠻驚訝的 雖然目前日本電影院只能空
一個位置坐不能連在一起坐。

以下為電影心得

可能是電影版的關係所以覺得畫面比動畫版好很多
音樂的地方也是配合的恰到好處 很多日本人看到哭
動畫裡炭治郎の歌好像有重新編曲過 聽起來蠻舒服的 整部搞笑的地方蠻少的 大部分的
場景都蠻感傷的 看完之後真的想去旁邊的bookoff把鬼滅全冊買回家。
而且這次入場的時候還送了一本小漫畫
https://i.imgur.com/LLRvcgS.jpg


補充
這次觀影的都是2x歲左右或是以上的日本觀眾
沒看到半位小朋友入場 也有可能那個時間大家還在上課的關係 不過在日本鬼滅可不是只
有在小朋友圈很紅 大人們也是很瘋 不論是去超市買東西或是 圈看水族館等等的地方 都
能看到鬼滅的商品或是展覽

希望台灣上映後大家也能多多支持 謝謝各位觀看

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 126.33.19.121 (日本)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603244771.A.90D.html
"
f1935tpl (三民李連杰),movie,[經典好雷] 成龍 經典電影回顧《神話》,Wed Oct 21 11:15:42 2020,13,"
三民李連杰今天繼續推介成龍大哥的經典電影《神話》

導演是唐季禮

成龍、金喜善、梁家輝等人主演

算是一部現代與古代時空交錯的神話愛情動作電影

講述成龍飾演的將軍與金喜善飾演的公主

兩人之間那一段橫跨千年的刻骨銘心的愛情


也算是成龍一次特殊的嘗試

也是成龍電影當中少數出現時空交錯與神話背景設定的電影

因為一般來說

成龍主要還是走寫實社會風格

看看他以前演的電影  大多都是飾演警察/臥底/社會人士等等真實的背景設定

畢竟一個以特技動作起家聞名的成龍  追求的挑戰人類力量限度內的極限特技動作

像是警察故事裡從百貨高樓抱著電燈柱子滑下

或是A計畫裡面從鐘樓頂樓撞破2層布簾再摔落地面

就是要讓觀眾感受到最真實極限特技動作

讓觀眾連在銀幕前都能感受到演員的每一拳每一腳與每滴汗每滴血

然而

在神話裡

成龍電影裡

出現了可以飄浮在空中/沒有了地心引力/可以穿越時空等等較為天馬行空的背景設定

這讓看習慣成龍以前電影的影迷來說

也算是全新的體驗

但當然就比較沒有那種拳腳打在身上與滴汗噴血的真實感了


總而言之

很好看

很感人

非常讚

這部電影依舊是成龍的經典電影之作


神話主題曲 - 無盡的愛

由成龍與金喜善一起演唱

成龍唱國語

金喜善唱韓語

很好聽

很感人

https://youtu.be/BxmtNCoQNNI

成龍：
解開我 最神秘的等待
星星墜落 風在吹動
終於再將你擁入懷中
兩顆心顫抖
相信我 不變的真心
千年等待 有我承諾
無論經過多少的寒冬
我決不放手

金喜善：
現在緊抓住我的手 閉上眼睛
請你回想起過去我們戀愛的日子
我們是因為太愛
所以更使得我們痛苦
我們連""愛你""這句話都無法講

成龍:
每一夜 被心痛穿越
思念永沒有終點
早習慣了孤獨像隨
我微笑面對
相信我 我選擇等待
再多苦痛也不閃躲
只有你的溫柔能解救
無邊的冷漠

金喜善：
現在緊抓住我的手 閉上眼睛
請你回想起過去我們戀愛的日子
我們是因為太愛
所以更使得我們痛苦
我們連""愛你""這句話都無法講

合唱：
讓愛成為你我心中
那永遠盛開的花
穿越時空絕不低頭 永不放棄的夢
我們是因為太愛
所以更使得我們痛苦
我們連""愛你""這句話都無法講
讓愛成為你我心中
那永遠盛開的花
我們千萬不要忘記 我們的約定
唯有真愛追隨你我
穿越無盡時空
我們連愛你這句話都無法講

成龍：
愛是心中唯一不變美麗的神話



沒錯

誠如成龍最後一句歌詞

愛是唯一不變的美麗神話

電影也是唯一不變的偉大產業


一個熱愛電影的人

其熱愛電影的真心與評論電影的熱情

也絕對會在字裡行間不證自明


三民李連杰告辭

謝謝

--
高雄三民李連杰
顧名思義來自高雄三民
偶像是功夫皇帝李連杰
可能是從小看李連杰的電影看久
耳濡目染之下長大後也變得像李連杰一樣帥氣
常被高雄三民的單身少女少婦誤認為李連杰本人

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.248.115.196 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603250148.A.EDE.html
"
CYKONGG (XXX),movie,[新聞] 《金剛戰士》證實重啟電影+全新影集,Wed Oct 21 11:57:03 2020,32,"
《金剛戰士》重啟電影+全新影集

https://i.imgur.com/6cwe7n8.jpg

自2017年推出超級英雄電影《金剛戰士》在票房上慘遭滑鐵盧之後，外界就一直傳出孩之
寶打算重啟這部作品，如今這個好消息也終於被證實了。

https://i.imgur.com/jcenqeD.jpg

根據THR最新報導， 身兼Netflix兩部叫好叫座厭世青春影集「去X的世界末日」與「這樣
不OK」主創/導演/編劇三職的英國人氣導演喬納森恩特維斯特，將會主導重啟版電影以及
系列影集的改編發展過程。

https://i.imgur.com/dDMcvKM.jpg

報導中同時指出，在恩特維斯特確定加入之後，整個電影重啟計畫也有了大幅度轉變；不
僅接力發展重啟版大銀幕作品，這位人氣編導還會替電影公司構建出連結大、小銀幕的全
新《金剛戰士》影視宇宙。

https://i.imgur.com/BOC2CGA.jpg

近日，eOne's電影公司總裁尼克梅爾以及全球電視總裁邁可隆巴杜發表了一份共同聲明。
聲明中表示：「針對這個獲得高度成功的經典系列，喬納森有著令人難以置信且富創造性
的遠見。並且，在我們重新構思此系列的電影與電視宇宙之際，這位最合適的人才加入了
我們的行列。」

https://i.imgur.com/9KWpDxK.jpg

2017年上映的《金剛戰士》，製作成本1億美金，全球票房卻只有1.42億美金，票房失利
使得電影公司不得不暫停發展系列電影的計畫。目前並不清楚參與演出重啟版電影的演員
群。



 https://reurl.cc/m9kgel

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.12.23.126 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603252625.A.617.html
※ 編輯: CYKONGG (101.12.23.126 臺灣), 10/21/2020 12:00:57
"
ktou545 (修哥),movie,[情報] 樂搜搜片報 惡女 / 王牌辯士 / 人間失格,Wed Oct 21 13:46:37 2020,0,"
【樂搜搜片報】
惡女 / 王牌辯士 / 人間失格：太宰治與他的3個女人

這回分享的 16 部 iTunes 限時特價片，優惠至 10/23，裡頭有 12 部低價、
4 部中價。此外，倒有 5 部新片已開放租買，當中 2 部就蘋果、Google Play
 皆能找到，另 3 部則前者提供。

曾被詹姆斯岡恩列入居家隔離必看清單的低價片《惡女》，由鄭秉吉沿用得獎
作《殺人告白》的動作元素，邀請金玉彬扮演政府殺人機器，開場秀出以一擋
多的一鏡到底打鬥，也嶄露為生存弄髒雙手的無奈。

中價方面，榮獲 2020 日本電影學院獎多項提名的《王牌辯士》，強調辯士對
於日本默片輝煌時期的重要性，特別請來二位專業人士教成田凌等三人學開口
發聲到全戲院聽見，助於詮釋這行多元風格並存和競爭的風貌。

新出爐的《人間失格：太宰治與他的3個女人》經蜷川實花繼承《惡女花魁》
以來的艷麗色調，賦予宮澤理惠、二階堂富美個別跟演小說家太宰治的小栗旬
，催生的愛情滋味，呈現反差，並分別問鼎日本奧斯卡最佳女主角和女配角二
獎。

所以，各位要挑哪部來看呢？

==

<<超低特價>>

《惡女》
iTunes Store 購買連結
>> https://apple.co/2UEruhT

《人魚沉睡的家》
iTunes Store 購買連結
>> https://apple.co/2yCNcem

《去他X的放蕩青春》
iTunes Store 購買連結
>> https://apple.co/2vTCRsy

《國際市場：半世紀的諾言》
iTunes Store 購買連結
>> https://apple.co/2TLzIVd

《王牌計中計》
iTunes Store 購買連結
>> https://apple.co/2NMph0q

《牛奶配送員的魔幻人生》
iTunes Store 購買連結
>> https://apple.co/2SuhK9n

《蠟筆小新電影－宇宙人Pi力來襲！！》
iTunes Store 購買連結
>> https://apple.co/2T9MUSO

《婚姻風暴》
iTunes Store 購買連結
>> https://apple.co/3cpIBe3

《百元之戀》
iTunes Store 購買連結
>> https://apple.co/3cHS7dg

《大醫新鮮人》
iTunes Store 購買連結
>> https://apple.co/3auSwy0

《我的嘻哈我的家》
iTunes Store 購買連結
>> https://apple.co/38dMqlj

《企鵝寶貝2：極地的呼喚》
iTunes Store 購買連結
>> https://apple.co/31HYDOa

<<中階特價>>

《隱藏的大明星》
iTunes Store 購買連結
>> https://apple.co/387Yfsz

《我只是個計程車司機》
iTunes Store 購買連結
>> https://apple.co/38vri9y

《王牌辯士》
iTunes Store 購買連結
>> https://apple.co/3fBpnU6

《我們的家不是我們的家》
iTunes Store 購買連結
>> https://apple.co/2V3pujo

<<新片上架>>

《甜心大叔》
iTunes Store 購買連結
>> https://apple.co/3keAS6z

Google Play 購買連結
>> https://bit.ly/2IIYaDP

《人間失格：太宰治與他的3個女人》
iTunes Store 購買連結
>> https://apple.co/37jhmlN

Google Play 購買連結
>> https://bit.ly/358jYAo

《奪命隧道》
iTunes Store 獨家販售
>> https://apple.co/34IsBBk

《蜜蜂與遠雷》
iTunes Store 獨家販售
>> https://apple.co/3nnZITw

《熊熊大作戰》
iTunes Store 獨家販售
>> https://apple.co/2SItjZT

==

電影優惠樂搜搜粉絲團：
http://bit.ly/2NRZ8xB

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.172.89.68 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603259214.A.382.html
"
Qoo302 (Qoo~),movie,[請益] 洪興十三妹 刀疤淇的問題,Wed Oct 21 14:23:34 2020,0,"
防雷

雖然已經10幾年的片了....





















十三妹提過

在砵蘭街問過很多人  都說對刀疤淇沒印象

自己也不確定是不是真的有認識過他  或是到底有沒有這個人

有人說刀疤淇是十三妹的第二個人格

但如果這樣的話  當初十三妹去砍豬哥的時候  若沒有刀疤淇  她如何能全身而退??

可是如果刀疤淇真有其人  以她以前紅牌的程度  應該不太可能有人不知道吧?

上網搜尋刀疤淇是十三妹的第二個人格  網路上好像沒有文章討論

大家怎麼看?

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 123.51.219.113 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603261416.A.95D.html
"
